player_id,player_name,team_id,position,age,matches_played_2025_26,goals_2025_26,assists_2025_26,xG,xA,minutes_played,injury_risk,market_value_million,nationality,club,fatigue_score,social_mention_count
P0001,Lionel Messi,T017,DF,36,16,18,3,0.65,0.33,459,Low,100,France,Bayern Munich,79.4,174823
P0002,Erling Haaland,T009,DF,25,12,14,12,0.58,0.46,3385,Low,52,Argentina,Real Madrid,87.1,218135
P0003,Neymar Jr,T033,GK,34,38,3,11,0.9,0.22,3549,Medium,74,Brazil,Manchester City,59.6,111511
P0004,Erling Haaland,T020,FW,22,33,20,12,0.94,0.57,2759,Low,104,Germany,Bayern Munich,81.7,225461
P0005,Thomas Muller,T013,DF,33,12,12,13,0.27,0.29,1311,Low,63,France,Manchester City,56.2,150830
P0006,Thomas Muller,T028,FW,23,29,21,17,0.77,0.23,352,Low,6,France,Bayern Munich,56.4,201852
P0007,Harry Kane,T048,DF,25,24,18,5,0.25,0.49,2755,Low,161,Germany,Inter Miami,45.9,8178
P0008,Erling Haaland,T029,MF,35,34,1,10,0.93,0.05,3194,Low,69,Spain,Real Madrid,64.2,36831
P0009,Erling Haaland,T013,MF,29,39,13,1,0.82,0.06,1345,Low,87,Spain,PSG,80.1,138248
P0010,Erling Haaland,T046,MF,32,23,3,4,1.15,0.24,1353,Low,158,Brazil,Bayern Munich,91.7,108306
P0011,Jude Bellingham,T035,MF,26,16,15,1,0.18,0.08,3050,Low,14,Argentina,Bayern Munich,73.2,169726
P0012,Lionel Messi,T006,DF,30,26,20,9,0.16,0.14,2607,Medium,57,France,Manchester City,87.5,162699
P0013,Neymar Jr,T018,DF,32,29,19,1,0.41,0.34,1528,High,83,Argentina,Inter Miami,85.2,188622
P0014,Harry Kane,T005,FW,27,18,13,10,0.39,0.73,3430,Medium,63,Spain,Manchester City,49.5,117025
P0015,Erling Haaland,T047,FW,33,31,14,17,0.37,0.54,1794,Medium,154,Spain,Manchester City,66.7,180982
P0016,Erling Haaland,T025,FW,24,11,2,14,1.1,0.49,3123,Low,52,England,Inter Miami,46.4,95417
P0017,Kylian Mbappe,T002,DF,34,33,7,8,0.37,0.3,1789,High,153,Brazil,PSG,77.5,194323
P0018,Harry Kane,T010,MF,24,17,15,8,0.4,0.84,1335,Low,127,England,Manchester City,92.2,171494
P0019,Erling Haaland,T030,FW,31,20,9,2,0.94,0.39,2250,High,26,England,Manchester City,47.5,16984
P0020,Harry Kane,T045,DF,32,22,3,8,0.59,0.12,3661,High,104,England,Bayern Munich,80.4,94312
P0021,Lionel Messi,T005,GK,24,26,17,13,0.95,0.57,1149,Medium,102,Brazil,Inter Miami,74.8,197458
P0022,Kylian Mbappe,T033,MF,26,17,1,6,0.17,0.15,653,High,162,Brazil,Real Madrid,72.1,88291
P0023,Harry Kane,T001,MF,36,30,16,15,0.64,0.34,1398,Low,29,Germany,PSG,61.5,12135
